"PRODUCT","SUBPRODUCT","STATE"
"Mortgage","Conventional fixed mortgage","NY"
"Debt collection","Other (phone, health club, etc.)","NH"
"Mortgage","Conventional fixed mortgage","NJ"
"Mortgage","Other mortgage","CT"
"Debt collection","Medical","FL"
"Bank account or service","Savings account","IL"
"Student loan","Non-federal student loan","AL"
"Debt collection","Credit card","TX"
"Debt collection","","TX"
"Debt collection","Other (phone, health club, etc.)","TX"
"Debt collection","Other (phone, health club, etc.)","TX"
"Debt collection","Other (phone, health club, etc.)","TX"
"Debt collection","Medical","TX"
"Bank account or service","Checking account","NJ"
"Consumer loan","Vehicle loan","CA"
"Debt collection","Payday loan","UT"
"Debt collection","Payday loan","UT"
"Bank account or service","Checking account","NY"
"Credit reporting","","HI"
"Credit reporting","","NM"
"Debt collection","Other (phone, health club, etc.)","FL"
"Mortgage","Conventional fixed mortgage","VA"
"Bank account or service","Checking account","PA"
"Mortgage","Conventional adjustable mortgage (ARM)","OK"
"Consumer loan","Installment loan","OK"
"Credit card","","FL"
"Debt collection","Other (phone, health club, etc.)","TX"
"Bank account or service","Checking account","MN"
"Credit card","","CA"
"Bank account or service","Checking account","TX"
"Credit reporting","","WY"
"Consumer loan","Vehicle loan","AL"
"Debt collection","","TX"
"Credit reporting","","NY"
"Credit reporting","","GA"
"Credit reporting","","NY"
"Debt collection","Other (phone, health club, etc.)","TX"
"Credit reporting","","SC"
"Credit card","","IN"
"Credit card","","VA"
"Debt collection","Payday loan","MI"
"Mortgage","Home equity loan or line of credit","MA"
"Credit reporting","","NM"
"Bank account or service","Other bank product/service","NY"
"Debt collection","","KS"
"Bank account or service","Checking account","MI"
"Credit card","","CO"
"Payday loan","","CA"
"Credit reporting","","CA"
"Credit reporting","","CA"
"Credit card","","FL"
"Mortgage","Conventional fixed mortgage","NC"
"Debt collection","Credit card","NY"
"Debt collection","Payday loan","TN"
"Mortgage","Conventional fixed mortgage","AL"
"Debt collection","Credit card","FL"
"Mortgage","Conventional fixed mortgage","CO"
"Bank account or service","Checking account","DC"
"Mortgage","Other mortgage","IN"
"Debt collection","Other (phone, health club, etc.)","CA"
"Debt collection","Credit card","TX"
"Credit reporting","","IN"
"Debt collection","Other (phone, health club, etc.)","NY"
"Mortgage","Other mortgage","CA"
"Debt collection","Other (phone, health club, etc.)","MO"
"Mortgage","Other mortgage","TX"
"Debt collection","Medical","CA"
"Student loan","Non-federal student loan","AZ"
"Mortgage","FHA mortgage","OH"
"Debt collection","Other (phone, health club, etc.)","OH"
"Bank account or service","(CD) Certificate of deposit","FL"
"Bank account or service","Checking account","CA"
"Mortgage","Conventional fixed mortgage","PA"
"Debt collection","Other (phone, health club, etc.)","WA"
"Mortgage","Conventional fixed mortgage","NY"
"Credit card","","NM"
"Mortgage","Conventional fixed mortgage","TX"
"Student loan","Non-federal student loan","PA"
"Consumer loan","Vehicle loan","NJ"
"Mortgage","Conventional fixed mortgage","NC"
"Mortgage","Other mortgage","VA"
"Credit card","","OH"
"Mortgage","Other mortgage","NY"
"Mortgage","Other mortgage","CA"
"Credit card","","MI"
"Mortgage","Conventional fixed mortgage","MI"
"Debt collection","Other (phone, health club, etc.)","VA"
"Mortgage","Other mortgage","FL"
"Credit reporting","","FL"
"Debt collection","Credit card","CA"
"Mortgage","VA mortgage","NV"
"Bank account or service","(CD) Certificate of deposit","IN"
"Mortgage","Conventional fixed mortgage","SC"
"Mortgage","Conventional fixed mortgage","PA"
"Credit reporting","","OH"
"Mortgage","Other mortgage","MD"
"Consumer loan","Installment loan","CA"
"Credit reporting","","AZ"
"Bank account or service","Other bank product/service","FL"
"Mortgage","Conventional adjustable mortgage (ARM)","FL"
"Mortgage","Other mortgage","AZ"
"Bank account or service","Savings account","FL"
"Debt collection","","MA"
"Student loan","Non-federal student loan","IN"
"Credit card","","NC"
"Debt collection","","MN"
"Mortgage","VA mortgage","IN"
"Credit card","","TN"
"Bank account or service","Checking account","CA"
"Credit reporting","","FL"
"Bank account or service","Other bank product/service","WA"
"Credit reporting","","FL"
"Credit reporting","","FL"
"Mortgage","FHA mortgage","NC"
"Mortgage","Conventional fixed mortgage","CT"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Student loan","Non-federal student loan","CA"
"Debt collection","Other (phone, health club, etc.)","FL"
"Mortgage","Other mortgage","PA"
"Credit card","","AZ"
"Student loan","Non-federal student loan","MA"
"Mortgage","Other mortgage","FL"
"Debt collection","","KY"
"Mortgage","Other mortgage","MA"
"Debt collection","Medical","CO"
"Bank account or service","Checking account","CA"
"Bank account or service","Checking account","OK"
"Debt collection","","FL"
"Consumer loan","Vehicle loan","TX"
"Bank account or service","Checking account","OH"
"Mortgage","Home equity loan or line of credit","WI"
"Mortgage","Other mortgage","AZ"
"Mortgage","Conventional adjustable mortgage (ARM)","NY"
"Debt collection","Other (phone, health club, etc.)","CA"
"Debt collection","Credit card","CA"
"Mortgage","Conventional fixed mortgage","FL"
"Bank account or service","Checking account","MD"
"Credit card","","IN"
"Mortgage","Conventional fixed mortgage","FL"
"Debt collection","","TN"
"Debt collection","Credit card","AR"
"Payday loan","","AZ"
"Consumer loan","Installment loan","CO"
"Mortgage","Conventional fixed mortgage","FL"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Mortgage","Other mortgage","MN"
"Debt collection","","TN"
"Mortgage","Other mortgage","FL"
"Credit card","","CA"
"Bank account or service","Checking account","TX"
"Debt collection","","TN"
"Mortgage","Other mortgage","MN"
"Credit reporting","","TX"
"Credit reporting","","TX"
"Credit reporting","","VA"
"Credit card","","NY"
"Mortgage","FHA mortgage","TX"
"Student loan","Non-federal student loan","NC"
"Mortgage","Home equity loan or line of credit","CA"
"Mortgage","Conventional adjustable mortgage (ARM)","OR"
"Mortgage","Conventional adjustable mortgage (ARM)","MT"
"Bank account or service","Other bank product/service","UT"
"Student loan","Non-federal student loan","MD"
"Mortgage","FHA mortgage","NJ"
"Debt collection","","VA"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Debt collection","Credit card","TX"
"Debt collection","Medical","GA"
"Consumer loan","Personal line of credit","OK"
"Debt collection","Other (phone, health club, etc.)","IN"
"Debt collection","Mortgage","MI"
"Debt collection","Other (phone, health club, etc.)","DE"
"Mortgage","Other mortgage","PA"
"Consumer loan","Installment loan","PA"
"Bank account or service","Checking account","NY"
"Debt collection","Payday loan","IL"
"Debt collection","","PA"
"Credit reporting","","NY"
"Debt collection","Other (phone, health club, etc.)","LA"
"Mortgage","Other mortgage","MN"
"Mortgage","Other mortgage","FL"
"Mortgage","Other mortgage","SC"
"Mortgage","Other mortgage","CA"
"Mortgage","FHA mortgage","SC"
"Mortgage","Other mortgage","MN"
"Credit card","","MN"
"Mortgage","VA mortgage","SC"
"Mortgage","Conventional fixed mortgage","NV"
"Mortgage","Conventional fixed mortgage","FL"
"Bank account or service","Checking account","CA"
"Mortgage","Conventional fixed mortgage","WA"
"Bank account or service","Checking account","TN"
"Debt collection","Medical","TX"
"Credit reporting","","FL"
"Student loan","Non-federal student loan","ME"
"Debt collection","Credit card","MN"
"Debt collection","Non-federal student loan","CT"
"Mortgage","Conventional fixed mortgage","WA"
"Debt collection","Mortgage","CA"
"Credit card","","CA"
"Mortgage","FHA mortgage","VA"
"Mortgage","VA mortgage","SC"
"Debt collection","Other (phone, health club, etc.)","TX"
"Bank account or service","Checking account","VA"
"Debt collection","Credit card","FL"
"Payday loan","","TX"
"Mortgage","VA mortgage","SC"
"Credit reporting","","NV"
"Mortgage","Conventional adjustable mortgage (ARM)","PA"
"Bank account or service","Other bank product/service",""
"Debt collection","Credit card","FL"
"Mortgage","Other mortgage","VA"
"Bank account or service","Savings account","TX"
"Credit card","","VA"
"Debt collection","Medical","TX"
"Mortgage","Other mortgage","CA"
"Mortgage","Other mortgage","FL"
"Credit reporting","","IN"
"Mortgage","Other mortgage","CA"
"Bank account or service","Checking account","FL"
"Credit reporting","","CA"
"Debt collection","","FL"
"Mortgage","FHA mortgage","CO"
"Credit reporting","","TX"
"Credit reporting","","TX"
"Credit reporting","","FL"
"Credit reporting","","NC"
"Debt collection","Other (phone, health club, etc.)","FL"
"Mortgage","FHA mortgage","NC"
"Mortgage","Other mortgage","NV"
"Credit card","","PA"
"Credit reporting","","IN"
"Mortgage","Conventional fixed mortgage","CT"
"Credit reporting","","SC"
"Bank account or service","Other bank product/service","TX"
"Payday loan","","CA"
"Mortgage","VA mortgage","CA"
"Bank account or service","Other bank product/service","FL"
"Mortgage","Conventional fixed mortgage","CA"
"Mortgage","Conventional fixed mortgage","GA"
"Credit card","","IL"
"Mortgage","Other mortgage","IL"
"Bank account or service","Checking account",""
"Debt collection","Other (phone, health club, etc.)","TX"
"Bank account or service","Checking account",""
"Debt collection","Other (phone, health club, etc.)","TX"
"Debt collection","","NJ"
"Debt collection","","CA"
"Debt collection","Non-federal student loan","IN"
"Debt collection","Credit card","MA"
"Credit reporting","","FL"
"Mortgage","Other mortgage","VA"
"Mortgage","Conventional fixed mortgage","DE"
"Mortgage","Other mortgage","OH"
"Mortgage","Conventional fixed mortgage","NJ"
"Credit reporting","","AL"
"Mortgage","Conventional fixed mortgage","CA"
"Credit reporting","","WI"
"Mortgage","Other mortgage","VA"
"Debt collection","Medical","GA"
"Debt collection","Other (phone, health club, etc.)","TX"
"Mortgage","Other mortgage","CA"
"Mortgage","Other mortgage","GA"
"Mortgage","Other mortgage","GA"
"Mortgage","Other mortgage","GA"
"Credit reporting","","CA"
"Consumer loan","Vehicle loan","CA"
"Mortgage","Conventional fixed mortgage","NY"
"Credit card","","WA"
"Mortgage","Conventional fixed mortgage","IL"
"Mortgage","Home equity loan or line of credit","IL"
"Debt collection","Payday loan","TX"
"Payday loan","","IL"
"Credit reporting","","FL"
"Credit reporting","","NJ"
"Credit card","","CA"
"Bank account or service","Other bank product/service","OH"
"Debt collection","Other (phone, health club, etc.)","CT"
"Student loan","Non-federal student loan","IL"
"Debt collection","Other (phone, health club, etc.)","CT"
"Credit reporting","","TX"
"Credit reporting","","TX"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Mortgage","Conventional fixed mortgage","CA"
"Debt collection","Credit card","TX"
"Bank account or service","Checking account","UT"
"Credit reporting","","NY"
"Mortgage","FHA mortgage","NH"
"Credit reporting","","WA"
"Debt collection","Other (phone, health club, etc.)","GA"
"Debt collection","","CA"
"Credit reporting","","IL"
"Mortgage","FHA mortgage","NY"
"Credit reporting","","IL"
"Credit reporting","","FL"
"Mortgage","Other mortgage","WV"
"Debt collection","","TX"
"Consumer loan","Installment loan","MO"
"Credit reporting","","OK"
"Mortgage","Other mortgage","FL"
"Mortgage","Other mortgage","CA"
"Credit reporting","","FL"
"Credit reporting","","FL"
"Mortgage","Conventional adjustable mortgage (ARM)","GA"
"Consumer loan","Installment loan","VA"
"Mortgage","Other mortgage","CA"
"Mortgage","Other mortgage","NY"
"Bank account or service","Checking account","TX"
"Credit reporting","","FL"
"Debt collection","Credit card","HI"
"Mortgage","Other mortgage","NJ"
"Credit reporting","","GA"
"Credit reporting","","CA"
"Mortgage","Conventional fixed mortgage","TX"
"Mortgage","Conventional fixed mortgage","CA"
"Credit card","","MI"
"Credit reporting","","MI"
"Bank account or service","Checking account","PA"
"Credit reporting","","WI"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Payday loan","","NJ"
"Credit reporting","","NY"
"Bank account or service","Checking account","AZ"
"Credit reporting","","IL"
"Debt collection","Credit card","GA"
"Mortgage","FHA mortgage","NJ"
"Credit reporting","","SC"
"Debt collection","Credit card","HI"
"Credit reporting","","MO"
"Debt collection","Credit card","GA"
"Consumer loan","Installment loan","TX"
"Credit reporting","","FL"
"Mortgage","Conventional adjustable mortgage (ARM)","TX"
"Consumer loan","Installment loan","TN"
"Mortgage","Conventional fixed mortgage","NC"
"Student loan","Non-federal student loan","FL"
"Bank account or service","Cashing a check without an account","CA"
"Bank account or service","Checking account","DC"
"Credit reporting","","FL"
"Debt collection","Other (phone, health club, etc.)","CA"
"Mortgage","FHA mortgage","CA"
"Debt collection","Credit card","GA"
"Debt collection","Credit card","GA"
"Bank account or service","Checking account","CA"
"Credit reporting","","MN"
"Credit reporting","","TN"
"Credit reporting","","MD"
"Credit reporting","","FL"
"Mortgage","Conventional fixed mortgage","CT"
"Credit reporting","","FL"
"Credit reporting","","FL"
"Debt collection","Medical","MD"
"Credit reporting","","TX"
"Debt collection","Medical","GA"
"Mortgage","Other mortgage","CA"
"Debt collection","Medical","NC"
"Mortgage","Conventional adjustable mortgage (ARM)","NY"
"Mortgage","Conventional adjustable mortgage (ARM)","FL"
"Mortgage","Other mortgage","FL"
"Mortgage","Home equity loan or line of credit","TX"
"Consumer loan","Installment loan","TX"
"Credit card","","NY"
"Debt collection","Credit card","MA"
"Credit card","","NY"
"Consumer loan","Vehicle loan","VA"
"Credit reporting","","FL"
"Mortgage","Reverse mortgage","MO"
"Consumer loan","Vehicle loan","MO"
"Mortgage","Other mortgage","CA"
"Debt collection","","TX"
"Credit reporting","","FL"
"Payday loan","","LA"
"Bank account or service","Other bank product/service","MD"
"Debt collection","","TX"
"Debt collection","Medical","TX"
"Credit card","","MD"
"Credit card","","NY"
"Mortgage","Other mortgage","NJ"
"Mortgage","Conventional fixed mortgage","WA"
"Debt collection","Other (phone, health club, etc.)","CA"
"Debt collection","Payday loan","LA"
"Credit card","","MD"
"Credit card","","TX"
"Debt collection","Medical","NJ"
"Mortgage","Conventional fixed mortgage","GA"
"Credit reporting","","AZ"
"Debt collection","Other (phone, health club, etc.)","NH"
"Debt collection","","TX"
"Money transfers","International money transfer","NY"
"Mortgage","Conventional fixed mortgage","TN"
"Credit reporting","","CA"
"Debt collection","","OH"
"Debt collection","","TN"
"Consumer loan","Vehicle lease","GA"
"Student loan","Non-federal student loan","NC"
"Mortgage","Conventional adjustable mortgage (ARM)","FL"
"Credit reporting","","TX"
"Debt collection","Medical","IL"
"Mortgage","Other mortgage","VA"
"Mortgage","Other mortgage","CO"
"Mortgage","FHA mortgage","MI"
"Mortgage","Other mortgage","NH"
"Debt collection","","NV"
"Credit reporting","","TX"
"Debt collection","Other (phone, health club, etc.)","OH"
"Bank account or service","Other bank product/service","NC"
"Debt collection","Medical","NV"
"Mortgage","Conventional fixed mortgage","CA"
"Credit reporting","","SC"
"Consumer loan","Vehicle loan","CA"
"Money transfers","International money transfer","MD"
"Debt collection","Medical","WI"
"Consumer loan","Installment loan","WI"
"Credit card","","CA"
"Mortgage","Conventional fixed mortgage","CA"
"Debt collection","Medical","NC"
"Mortgage","Home equity loan or line of credit","OH"
"Mortgage","Home equity loan or line of credit","VA"
"Payday loan","","MN"
"Debt collection","Medical","NY"
"Credit reporting","","GA"
"Bank account or service","Checking account","GA"
"Debt collection","Payday loan","LA"
"Bank account or service","Checking account","WA"
"Credit card","","NY"
"Credit reporting","","TX"
"Credit reporting","","TX"
"Bank account or service","Checking account","MA"
"Credit reporting","","PA"
"Consumer loan","Installment loan","VA"
"Credit reporting","","TX"
"Credit reporting","","NM"
"Bank account or service","Checking account","PA"
"Mortgage","Conventional adjustable mortgage (ARM)","NY"
"Debt collection","","NY"
"Credit reporting","","NC"
"Mortgage","Conventional fixed mortgage","TX"
"Credit reporting","","NM"
"Credit reporting","","NM"
"Credit reporting","","TX"
"Mortgage","Conventional fixed mortgage","NJ"
"Mortgage","Conventional fixed mortgage","NJ"
"Debt collection","Medical","GA"
"Consumer loan","Installment loan","SC"
"Debt collection","Medical","PA"
"Bank account or service","Other bank product/service","CO"
"Consumer loan","Installment loan","MA"
"Debt collection","Credit card","CT"
"Debt collection","Credit card","CT"
"Debt collection","Other (phone, health club, etc.)","DE"
"Mortgage","Other mortgage","CA"
"Debt collection","Mortgage","GA"
"Bank account or service","Other bank product/service","CO"
"Credit reporting","","TN"
"Debt collection","Credit card","CA"
"Credit reporting","","SC"
"Mortgage","Conventional fixed mortgage","MD"
"Credit card","","FL"
"Credit reporting","","TN"
"Credit card","",""
"Credit card","","MD"
"Mortgage","Conventional adjustable mortgage (ARM)","AZ"
"Debt collection","Other (phone, health club, etc.)","WV"
"Debt collection","Other (phone, health club, etc.)","CA"
"Mortgage","Conventional fixed mortgage","NY"
"Mortgage","Home equity loan or line of credit","NY"
"Debt collection","Credit card","CA"
"Credit card","","CT"
"Credit card","","CT"
"Debt collection","Credit card","CA"
"Debt collection","Other (phone, health club, etc.)","AL"
"Credit card","","MI"
"Debt collection","Credit card","CA"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Debt collection","","CA"
"Mortgage","Home equity loan or line of credit","NY"
"Mortgage","FHA mortgage","TX"
"Consumer loan","Vehicle lease","NY"
"Mortgage","Conventional fixed mortgage","FL"
"Mortgage","Home equity loan or line of credit","VA"
"Debt collection","Medical","KY"
"Student loan","Non-federal student loan","NY"
"Mortgage","Other mortgage","CA"
"Mortgage","Other mortgage","GA"
"Mortgage","Conventional fixed mortgage","FL"
"Consumer loan","Vehicle loan","TX"
"Mortgage","Conventional fixed mortgage","GA"
"Bank account or service","Checking account","FL"
"Debt collection","Other (phone, health club, etc.)","NM"
"Credit card","","MD"
"Credit card","","NY"
"Credit card","","FL"
"Consumer loan","Installment loan","MO"
"Mortgage","Other mortgage","AZ"
"Credit reporting","","OK"
"Mortgage","Other mortgage","HI"
"Credit reporting","","NC"
"Debt collection","Credit card","FL"
"Bank account or service","Other bank product/service","VA"
"Debt collection","Medical","NH"
"Mortgage","Conventional fixed mortgage","NC"
"Credit reporting","","NY"
"Payday loan","","NJ"
"Credit reporting","","NY"
"Mortgage","Other mortgage","NH"
"Mortgage","Home equity loan or line of credit","NH"
"Consumer loan","Vehicle lease","FL"
"Mortgage","Other mortgage","NV"
"Credit reporting","","NJ"
"Credit card","","TX"
"Mortgage","Conventional fixed mortgage","TX"
"Debt collection","Other (phone, health club, etc.)","GA"
"Mortgage","Reverse mortgage","FL"
"Student loan","Non-federal student loan","TX"
"Credit reporting","","KY"
"Mortgage","Conventional fixed mortgage","PA"
"Money transfers","Domestic (US) money transfer","WA"
"Credit reporting","","IA"
"Debt collection","Credit card","VA"
"Consumer loan","Vehicle loan","CA"
"Mortgage","Conventional fixed mortgage","NC"
"Mortgage","Conventional adjustable mortgage (ARM)","ND"
"Mortgage","Conventional fixed mortgage","NY"
"Credit card","","CA"
"Credit reporting","","CA"
"Bank account or service","Checking account","KY"
"Credit reporting","","NY"
"Credit reporting","","NY"
"Mortgage","Other mortgage","IL"
"Mortgage","Conventional fixed mortgage","TX"
"Debt collection","Credit card","AZ"
"Student loan","Non-federal student loan","SD"
"Debt collection","Medical","TX"
"Mortgage","Home equity loan or line of credit","NY"
"Debt collection","Medical","FL"
"Credit reporting","","NY"
"Credit reporting","","CT"
"Mortgage","Conventional adjustable mortgage (ARM)","FL"
"Credit reporting","","NY"
"Debt collection","","MD"
"Credit reporting","","VA"
"Mortgage","FHA mortgage","NC"
"Credit reporting","","VA"
"Credit reporting","","VA"
"Debt collection","Auto","NY"
"Debt collection","Auto","NY"
"Mortgage","Other mortgage","FL"
"Student loan","Non-federal student loan","CO"
"Debt collection","","TX"
"Debt collection","Other (phone, health club, etc.)","CA"
"Credit reporting","","WI"
"Debt collection","Other (phone, health club, etc.)","NJ"
"Mortgage","Conventional adjustable mortgage (ARM)","FL"
"Mortgage","Other mortgage","TN"
"Mortgage","Other mortgage","FL"
"Student loan","Non-federal student loan","WV"
"Student loan","Non-federal student loan","WV"
"Credit card","","CA"
"Mortgage","Other mortgage","MD"
"Mortgage","Other mortgage","NJ"
"Credit card","","NJ"
"Mortgage","Conventional fixed mortgage","NY"
"Mortgage","Other mortgage","FL"
"Mortgage","VA mortgage","VA"
"Credit card","","FL"
"Mortgage","Other mortgage","FL"
"Mortgage","Home equity loan or line of credit","WI"
"Debt collection","Credit card","OH"
"Debt collection","Credit card","GA"
"Credit reporting","","TX"
"Credit reporting","","TX"
"Credit reporting","","TX"
"Credit reporting","","TX"
"Debt collection","Medical","SD"
"Mortgage","Conventional fixed mortgage","MN"
"Debt collection","Credit card","MI"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Credit reporting","","TX"
"Credit reporting","","TX"
"Mortgage","Other mortgage","MD"
"Consumer loan","Vehicle loan","GA"
"Credit card","","FL"
"Mortgage","Other mortgage","NJ"
"Mortgage","Other mortgage","NY"
"Bank account or service","Checking account","GA"
"Bank account or service","Checking account","CT"
"Debt collection","Other (phone, health club, etc.)","TX"
"Credit reporting","","CA"
"Mortgage","Conventional fixed mortgage","CO"
"Mortgage","FHA mortgage","MI"
"Bank account or service","Checking account","OH"
"Debt collection","Other (phone, health club, etc.)","FL"
"Consumer loan","Vehicle loan","OH"
"Mortgage","Other mortgage","PA"
"Credit reporting","","FL"
"Credit reporting","","MA"
"Bank account or service","Checking account","TX"
"Mortgage","Other mortgage","GA"
"Debt collection","Credit card","TX"
"Payday loan","","TN"
"Bank account or service","Other bank product/service","CA"
"Credit card","","IL"
"Bank account or service","Other bank product/service","ME"
"Mortgage","Other mortgage","FL"
"Consumer loan","Vehicle loan","NY"
"Debt collection","","WA"
"Bank account or service","Checking account","NC"
"Consumer loan","Installment loan","MI"
"Credit reporting","","CA"
"Credit card","","MN"
"Bank account or service","Checking account","CA"
"Mortgage","Conventional fixed mortgage","MD"
"Debt collection","Medical","NC"
"Consumer loan","Vehicle loan","GA"
"Debt collection","Payday loan","VA"
"Credit reporting","","AZ"
"Debt collection","Credit card",""
"Debt collection","Other (phone, health club, etc.)","CA"
"Mortgage","FHA mortgage","FL"
"Credit card","","FL"
"Mortgage","Conventional fixed mortgage","VA"
"Mortgage","FHA mortgage","AZ"
"Mortgage","Other mortgage","IN"
"Student loan","Non-federal student loan","OH"
"Mortgage","Other mortgage","TN"
"Mortgage","Conventional fixed mortgage","CA"
"Bank account or service","Checking account","PA"
"Mortgage","FHA mortgage","FL"
"Credit card","","RI"
"Credit card","","CT"
"Mortgage","Conventional fixed mortgage","MI"
"Debt collection","Other (phone, health club, etc.)","NC"
"Debt collection","","PA"
"Credit card","","RI"
"Debt collection","Credit card","PA"
"Debt collection","Other (phone, health club, etc.)","SC"
"Mortgage","Other mortgage","SC"
"Mortgage","Other mortgage","IN"
"Mortgage","Other mortgage","IN"
"Debt collection","Other (phone, health club, etc.)","NY"
"Debt collection","Credit card","PA"
"Credit card","","CT"
"Bank account or service","Checking account","FL"
"Mortgage","Conventional fixed mortgage","AL"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Mortgage","VA mortgage","CA"
"Mortgage","Conventional fixed mortgage","PA"
"Mortgage","Conventional adjustable mortgage (ARM)","NJ"
"Bank account or service","Checking account","CT"
"Credit reporting","","HI"
"Mortgage","Conventional fixed mortgage","CA"
"Bank account or service","Other bank product/service","FL"
"Consumer loan","Vehicle loan","DE"
"Bank account or service","Checking account","LA"
"Bank account or service","(CD) Certificate of deposit","NV"
"Consumer loan","Vehicle loan","GA"
"Bank account or service","Checking account","CA"
"Debt collection","Payday loan","OH"
"Mortgage","Other mortgage","WA"
"Credit reporting","","CA"
"Credit card","","CA"
"Debt collection","Other (phone, health club, etc.)","OH"
"Credit reporting","","FL"
"Debt collection","Federal student loan","IL"
"Debt collection","Other (phone, health club, etc.)","TX"
"Debt collection","Credit card","FL"
"Debt collection","Other (phone, health club, etc.)","TX"
"Debt collection","Credit card","WA"
"Mortgage","Conventional fixed mortgage","OH"
"Debt collection","Credit card","CT"
"Credit reporting","","CA"
"Debt collection","Other (phone, health club, etc.)","WA"
"Debt collection","Payday loan","NJ"
"Student loan","Non-federal student loan","AZ"
"Bank account or service","Checking account","DC"
"Bank account or service","Checking account","NY"
"Credit card","","NJ"
"Debt collection","Credit card","NJ"
"Mortgage","Other mortgage","FL"
"Debt collection","Credit card","CT"
"Bank account or service","Other bank product/service","NY"
"Mortgage","Other mortgage","TN"
"Credit card","","GA"
"Debt collection","Other (phone, health club, etc.)","FL"
"Debt collection","Payday loan","TX"
"Mortgage","Conventional fixed mortgage","CA"
"Credit card","","NY"
"Credit reporting","","MI"
"Credit card","","FL"
"Mortgage","Conventional fixed mortgage","RI"
"Credit reporting","","TX"
"Mortgage","VA mortgage","CA"
"Mortgage","Other mortgage","FL"
"Credit reporting","","FL"
"Mortgage","Home equity loan or line of credit","OH"
"Credit card","","PA"
"Credit card","","CA"
"Credit card","","IN"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Payday loan","","MD"
"Mortgage","Other mortgage","FL"
"Student loan","Non-federal student loan","PA"
"Credit reporting","","CT"
"Mortgage","FHA mortgage","UT"
"Money transfers","International money transfer","FL"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Debt collection","Federal student loan","TX"
"Debt collection","Other (phone, health club, etc.)","IL"
"Mortgage","Other mortgage","MA"
"Mortgage","Other mortgage","MD"
"Credit card","","CA"
"Debt collection","Credit card","ME"
"Debt collection","Other (phone, health club, etc.)","CA"
"Credit reporting","","WA"
"Mortgage","FHA mortgage","CA"
"Mortgage","FHA mortgage","FL"
"Mortgage","Other mortgage","FL"
"Credit reporting","","AL"
"Debt collection","Other (phone, health club, etc.)","LA"
"Mortgage","Conventional fixed mortgage","PA"
"Credit reporting","","WA"
"Mortgage","FHA mortgage","NC"
"Mortgage","Other mortgage","NJ"
"Credit card","","PA"
"Bank account or service","(CD) Certificate of deposit","PA"
"Credit card","","GA"
"Credit reporting","","CA"
"Credit reporting","","CA"
"Mortgage","Other mortgage","NY"
"Mortgage","Conventional fixed mortgage","WA"
"Credit reporting","","TX"
"Debt collection","Credit card","NJ"
"Debt collection","Credit card","SC"
"Debt collection","","PA"
"Mortgage","Conventional fixed mortgage","OR"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Debt collection","","OK"
"Mortgage","Other mortgage","NJ"
"Bank account or service","Other bank product/service","GA"
"Money transfers","Domestic (US) money transfer","HI"
"Debt collection","Non-federal student loan","WA"
"Consumer loan","Vehicle loan","NY"
"Debt collection","Payday loan","OK"
"Debt collection","","TX"
"Mortgage","Conventional fixed mortgage","CA"
"Credit reporting","","CA"
"Credit card","","NY"
"Mortgage","FHA mortgage","GA"
"Debt collection","Other (phone, health club, etc.)","IL"
"Mortgage","Conventional fixed mortgage","IL"
"Consumer loan","Vehicle loan","NY"
"Bank account or service","Checking account","IL"
"Mortgage","Other mortgage","CA"
"Debt collection","Credit card","TN"
"Debt collection","Medical","TX"
"Debt collection","Medical","VA"
"Bank account or service","Checking account","FL"
"Credit reporting","","CA"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Mortgage","Conventional fixed mortgage","WV"
"Mortgage","Other mortgage","NY"
"Mortgage","Other mortgage","FL"
"Debt collection","Credit card","CA"
"Student loan","Non-federal student loan","MD"
"Debt collection","Other (phone, health club, etc.)","WA"
"Consumer loan","Installment loan","SC"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Mortgage","Other mortgage","FL"
"Bank account or service","Checking account","NE"
"Mortgage","Other mortgage","NY"
"Mortgage","Conventional fixed mortgage","OH"
"Consumer loan","Vehicle loan","AZ"
"Bank account or service","Checking account","TX"
"Credit reporting","","FL"
"Bank account or service","Other bank product/service","NJ"
"Credit card","","VA"
"Debt collection","","OH"
"Debt collection","Other (phone, health club, etc.)","NJ"
"Credit reporting","","CA"
"Bank account or service","Checking account","AL"
"Credit card","","CA"
"Mortgage","Conventional fixed mortgage","VA"
"Credit reporting","","TX"
"Credit card","","GA"
"Bank account or service","Checking account","LA"
"Credit reporting","","WA"
"Credit reporting","","WA"
"Credit reporting","","WA"
"Mortgage","Other mortgage","WA"
"Mortgage","Other mortgage","AR"
"Debt collection","Payday loan","MS"
"Credit card","","NY"
"Credit card","","OH"
